X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-0.401925,42.784508,0,0,53,1626.226,2013/08/25 12:35:43+00,,,,,,,,,,,,,,,,,,,,,
-0.400973,42.784985,0,0,54,1618.171,2013/08/25 12:36:50+00,,,,,,,,,,,,,,,,,,,,,
-0.400063,42.785061,0,0,55,1610.054,2013/08/25 12:37:44+00,,,,,,,,,,,,,,,,,,,,,
-0.399137,42.786057,0,0,56,1604.926,2013/08/25 12:39:28+00,,,,,,,,,,,,,,,,,,,,,
-0.397551,42.78706,0,0,57,1598.723,2013/08/25 12:41:31+00,,,,,,,,,,,,,,,,,,,,,
-0.396652,42.786961,0,0,58,1601.798,2013/08/25 12:42:31+00,,,,,,,,,,,,,,,,,,,,,
-0.395811,42.786121,0,0,59,1607.366,2013/08/25 12:44:24+00,,,,,,,,,,,,,,,,,,,,,
-0.395105,42.785889,0,0,60,1611.497,2013/08/25 12:45:13+00,,,,,,,,,,,,,,,,,,,,,
-0.394161,42.785793,0,0,61,1616.023,2013/08/25 12:46:13+00,,,,,,,,,,,,,,,,,,,,,
-0.392776,42.785892,0,0,62,1625.225,2013/08/25 12:47:57+00,,,,,,,,,,,,,,,,,,,,,
-0.392309,42.785637,0,0,63,1624.108,2013/08/25 12:48:51+00,,,,,,,,,,,,,,,,,,,,,
-0.392303,42.785606,0,0,64,1623.93,2013/08/25 06:18:29+00,,,,,,,,,,,,,,,,,,,,,
-0.392585,42.785831,0,0,65,1625.062,2013/08/25 06:19:22+00,,,,,,,,,,,,,,,,,,,,,
-0.393996,42.785759,0,0,66,1616.757,2013/08/25 06:21:11+00,,,,,,,,,,,,,,,,,,,,,
-0.395316,42.785931,0,0,67,1610.15,2013/08/25 06:22:32+00,,,,,,,,,,,,,,,,,,,,,
-0.395886,42.786156,0,0,68,1606.982,2013/08/25 06:23:10+00,,,,,,,,,,,,,,,,,,,,,
-0.396724,42.786972,0,0,69,1601.469,2013/08/25 06:24:30+00,,,,,,,,,,,,,,,,,,,,,
-0.397443,42.787067,0,0,70,1598.724,2013/08/25 06:25:13+00,,,,,,,,,,,,,,,,,,,,,
-0.399183,42.78598,0,0,71,1604.312,2013/08/25 06:27:32+00,,,,,,,,,,,,,,,,,,,,,
-0.399983,42.785072,0,0,72,1609.216,2013/08/25 06:29:03+00,,,,,,,,,,,,,,,,,,,,,
-0.400787,42.784996,0,0,73,1615.676,2013/08/25 06:29:55+00,,,,,,,,,,,,,,,,,,,,,
-0.402095,42.784416,0,0,74,1627.113,2013/08/25 06:31:36+00,,,,,,,,,,,,,,,,,,,,,
-0.402894,42.784225,0,0,75,1634.708,2013/08/25 06:32:35+00,,,,,,,,,,,,,,,,,,,,,
-0.40398,42.783512,0,0,76,1646.442,2013/08/25 06:34:22+00,,,,,,,,,,,,,,,,,,,,,
-0.404715,42.78352,0,0,77,1653.324,2013/08/25 06:35:16+00,,,,,,,,,,,,,,,,,,,,,
-0.405596,42.783821,0,0,78,1659.859,2013/08/25 06:36:27+00,,,,,,,,,,,,,,,,,,,,,
-0.407691,42.78344,0,0,79,1687.672,2013/08/25 06:39:42+00,,,,,,,,,,,,,,,,,,,,,
-0.408711,42.782829,0,0,80,1709.034,2013/08/25 06:42:30+00,,,,,,,,,,,,,,,,,,,,,
-0.409085,42.78233,0,0,81,1714.181,2013/08/25 06:43:48+00,,,,,,,,,,,,,,,,,,,,,
-0.409884,42.782093,0,0,82,1715.196,2013/08/25 06:44:45+00,,,,,,,,,,,,,,,,,,,,,
-0.410548,42.781551,0,0,83,1717.514,2013/08/25 06:46:00+00,,,,,,,,,,,,,,,,,,,,,
-0.411479,42.782017,0,0,84,1737.216,2013/08/25 06:48:39+00,,,,,,,,,,,,,,,,,,,,,
-0.411857,42.782394,0,0,85,1752.876,2013/08/25 06:50:17+00,,,,,,,,,,,,,,,,,,,,,
-0.413172,42.782406,0,0,86,1782.413,2013/08/25 06:53:41+00,,,,,,,,,,,,,,,,,,,,,
-0.413407,42.782269,0,0,87,1789.008,2013/08/25 06:54:52+00,,,,,,,,,,,,,,,,,,,,,
-0.41377,42.782429,0,0,88,1798.582,2013/08/25 06:56:05+00,,,,,,,,,,,,,,,,,,,,,
-0.416892,42.781406,0,0,89,1881.664,2013/08/25 07:05:29+00,,,,,,,,,,,,,,,,,,,,,
-0.41749,42.781387,0,0,90,1898.719,2013/08/25 07:07:23+00,,,,,,,,,,,,,,,,,,,,,
-0.418578,42.781673,0,0,91,1928.432,2013/08/25 07:11:20+00,,,,,,,,,,,,,,,,,,,,,
